Agenvoy	linux-aarch64	agen-v1.0.19-linux-arm64.tar.gz	agen
Agenvoy	linux-x86_64	agen-v1.0.19-linux-amd64.tar.gz	agen
Agenvoy	macos-aarch64	agen-v1.0.19-darwin-arm64.tar.gz	agen
FFmpeg-Builds	linux-aarch64	ffmpeg-N-126782-gdc52424419-linuxarm64-gpl-shared.tar.xz	ffmpeg-N-126782-gdc52424419-linuxarm64-gpl-shared
FFmpeg-Builds	linux-aarch64	ffmpeg-N-126782-gdc52424419-linuxarm64-gpl.tar.xz	ffmpeg-N-126782-gdc52424419-linuxarm64-gpl
FFmpeg-Builds	linux-aarch64	ffmpeg-N-126782-gdc52424419-linuxarm64-lgpl-shared.tar.xz	ffmpeg-N-126782-gdc52424419-linuxarm64-lgpl-shared
FFmpeg-Builds	linux-aarch64	ffmpeg-N-126782-gdc52424419-linuxarm64-lgpl.tar.xz	ffmpeg-N-126782-gdc52424419-linuxarm64-lgpl
FFmpeg-Builds	linux-aarch64	ffmpeg-n8.1.3-linuxarm64-gpl-8.1.tar.xz	ffmpeg-n8-1-3-linuxarm64-gpl
FFmpeg-Builds	linux-aarch64	ffmpeg-n8.1.3-linuxarm64-gpl-shared-8.1.tar.xz	ffmpeg-n8-1-3-linuxarm64-gpl-shared
FFmpeg-Builds	linux-aarch64	ffmpeg-n8.1.3-linuxarm64-lgpl-8.1.tar.xz	ffmpeg-n8-1-3-linuxarm64-lgpl
FFmpeg-Builds	linux-aarch64	ffmpeg-n8.1.3-linuxarm64-lgpl-shared-8.1.tar.xz	ffmpeg-n8-1-3-linuxarm64-lgpl-shared
FFmpeg-Builds	linux-aarch64	ffmpeg-n9.0.2-3-ga5923073bf-linuxarm64-gpl-9.0.tar.xz	ffmpeg-n9-0-2-3-ga5923073bf-linuxarm64-gpl
FFmpeg-Builds	linux-aarch64	ffmpeg-n9.0.2-3-ga5923073bf-linuxarm64-gpl-shared-9.0.tar.xz	ffmpeg-n9-0-2-3-ga5923073bf-linuxarm64-gpl-shared
FFmpeg-Builds	linux-aarch64	ffmpeg-n9.0.2-3-ga5923073bf-linuxarm64-lgpl-9.0.tar.xz	ffmpeg-n9-0-2-3-ga5923073bf-linuxarm64-lgpl
FFmpeg-Builds	linux-aarch64	ffmpeg-n9.0.2-3-ga5923073bf-linuxarm64-lgpl-shared-9.0.tar.xz	ffmpeg-n9-0-2-3-ga5923073bf-linuxarm64-lgpl-shared
FFmpeg-Builds	linux-x86_64	ffmpeg-N-126782-gdc52424419-linux64-gpl-shared.tar.xz	ffmpeg-N-126782-gdc52424419-linux64-gpl-shared
FFmpeg-Builds	linux-x86_64	ffmpeg-N-126782-gdc52424419-linux64-gpl.tar.xz	ffmpeg-N-126782-gdc52424419-linux64-gpl
FFmpeg-Builds	linux-x86_64	ffmpeg-N-126782-gdc52424419-linux64-lgpl-shared.tar.xz	ffmpeg-N-126782-gdc52424419-linux64-lgpl-shared
FFmpeg-Builds	linux-x86_64	ffmpeg-N-126782-gdc52424419-linux64-lgpl.tar.xz	ffmpeg-N-126782-gdc52424419-linux64-lgpl
FFmpeg-Builds	linux-x86_64	ffmpeg-n8.1.3-linux64-gpl-8.1.tar.xz	ffmpeg-n8-1-3-linux64-gpl
FFmpeg-Builds	linux-x86_64	ffmpeg-n8.1.3-linux64-gpl-shared-8.1.tar.xz	ffmpeg-n8-1-3-linux64-gpl-shared
FFmpeg-Builds	linux-x86_64	ffmpeg-n8.1.3-linux64-lgpl-8.1.tar.xz	ffmpeg-n8-1-3-linux64-lgpl
FFmpeg-Builds	linux-x86_64	ffmpeg-n8.1.3-linux64-lgpl-shared-8.1.tar.xz	ffmpeg-n8-1-3-linux64-lgpl-shared
FFmpeg-Builds	linux-x86_64	ffmpeg-n9.0.2-3-ga5923073bf-linux64-gpl-9.0.tar.xz	ffmpeg-n9-0-2-3-ga5923073bf-linux64-gpl
FFmpeg-Builds	linux-x86_64	ffmpeg-n9.0.2-3-ga5923073bf-linux64-gpl-shared-9.0.tar.xz	ffmpeg-n9-0-2-3-ga5923073bf-linux64-gpl-shared
FFmpeg-Builds	linux-x86_64	ffmpeg-n9.0.2-3-ga5923073bf-linux64-lgpl-9.0.tar.xz	ffmpeg-n9-0-2-3-ga5923073bf-linux64-lgpl
FFmpeg-Builds	linux-x86_64	ffmpeg-n9.0.2-3-ga5923073bf-linux64-lgpl-shared-9.0.tar.xz	ffmpeg-n9-0-2-3-ga5923073bf-linux64-lgpl-shared
FFmpeg-Builds	windows-aarch64	ffmpeg-N-126782-gdc52424419-win64-gpl-shared.zip	ffmpeg-N-126782-gdc52424419-gpl-shared
FFmpeg-Builds	windows-aarch64	ffmpeg-N-126782-gdc52424419-win64-gpl.zip	ffmpeg-N-126782-gdc52424419-gpl
FFmpeg-Builds	windows-aarch64	ffmpeg-N-126782-gdc52424419-win64-lgpl-shared.zip	ffmpeg-N-126782-gdc52424419-lgpl-shared
FFmpeg-Builds	windows-aarch64	ffmpeg-N-126782-gdc52424419-win64-lgpl.zip	ffmpeg-N-126782-gdc52424419-lgpl
FFmpeg-Builds	windows-aarch64	ffmpeg-n8.1.3-win64-gpl-8.1.zip	ffmpeg-n8-1-3-gpl
FFmpeg-Builds	windows-aarch64	ffmpeg-n8.1.3-win64-gpl-shared-8.1.zip	ffmpeg-n8-1-3-gpl-shared
FFmpeg-Builds	windows-aarch64	ffmpeg-n8.1.3-win64-lgpl-8.1.zip	ffmpeg-n8-1-3-lgpl
FFmpeg-Builds	windows-aarch64	ffmpeg-n8.1.3-win64-lgpl-shared-8.1.zip	ffmpeg-n8-1-3-lgpl-shared
FFmpeg-Builds	windows-aarch64	ffmpeg-n9.0.2-3-ga5923073bf-win64-gpl-9.0.zip	ffmpeg-n9-0-2-3-ga5923073bf-gpl
FFmpeg-Builds	windows-aarch64	ffmpeg-n9.0.2-3-ga5923073bf-win64-gpl-shared-9.0.zip	ffmpeg-n9-0-2-3-ga5923073bf-gpl-shared
FFmpeg-Builds	windows-aarch64	ffmpeg-n9.0.2-3-ga5923073bf-win64-lgpl-9.0.zip	ffmpeg-n9-0-2-3-ga5923073bf-lgpl
FFmpeg-Builds	windows-aarch64	ffmpeg-n9.0.2-3-ga5923073bf-win64-lgpl-shared-9.0.zip	ffmpeg-n9-0-2-3-ga5923073bf-lgpl-shared
FFmpeg-Builds	windows-i686	ffmpeg-N-126782-gdc52424419-win64-gpl-shared.zip	ffmpeg-N-126782-gdc52424419-gpl-shared
FFmpeg-Builds	windows-i686	ffmpeg-N-126782-gdc52424419-win64-gpl.zip	ffmpeg-N-126782-gdc52424419-gpl
